section,key,value,ci95_lo,ci95_hi,n,note
classification(text),TFIDF_LogReg macro-F1,0.9034,0.8896,0.9161,,cv 0.9129±0.0082
classification(text),TFIDF_LinearSVM macro-F1,0.9192,0.9058,0.9311,,cv 0.9275±0.0075
classification(text),McNemar TFIDF_LogReg vs TFIDF_LinearSVM,p=4.192e-04,,,,chi2=12.44
scoring,Explainable macro-F1@0.5,0.929,0.9187,0.9394,,midpoint of CI
scoring,McNemar expl vs blackbox,p=2.789e-04,,,,AUC gap +0.0045
multilingual/pooled,de accuracy,0.9167,0.7415,0.9768,24,small-N unreliable
multilingual/pooled,en accuracy,0.8993,0.8843,0.9125,1757,reliable
multilingual/pooled,es accuracy,0.8,0.5481,0.9295,15,small-N unreliable
multilingual/pooled,fr accuracy,0.96,0.8046,0.9929,25,small-N unreliable
multilingual/pooled,pt accuracy,1.0,0.7225,1.0,10,small-N unreliable
multilingual/pooled,ru accuracy,0.8772,0.8044,0.9254,114,reliable
multilingual/cross_lingual_train_en,de accuracy,0.876,0.808,0.9222,129,reliable
multilingual/cross_lingual_train_en,en accuracy,0.9078,0.8934,0.9204,1768,reliable
multilingual/cross_lingual_train_en,es accuracy,0.8361,0.7239,0.9084,61,reliable
multilingual/cross_lingual_train_en,fr accuracy,0.8081,0.7196,0.8735,99,reliable
multilingual/cross_lingual_train_en,pt accuracy,0.9074,0.8009,0.9598,54,reliable
multilingual/cross_lingual_train_en,ru accuracy,0.7343,0.6956,0.7698,542,reliable
