section,task,model,macro_f1,macro_f1_ci95_lo,macro_f1_ci95_hi,cv_mean,cv_sd,test,p_value,statistic,language,n,accuracy,acc_ci95_lo,acc_ci95_hi,ci_width,reliable
classification(text),classification(text/CoDA),TFIDF_LogReg,0.9034,0.8896,0.9161,0.9129,0.0082,,,,,,,,,,
classification(text),classification(text/CoDA),TFIDF_LinearSVM,0.9192,0.9058,0.9311,0.9275,0.0075,,,,,,,,,,
classification(text),,,,,,,,McNemar TFIDF_LogReg vs TFIDF_LinearSVM,0.000419236969540987,12.444,,,,,,,
multilingual/pooled,,,0.6528,,,,,,,,de,24.0,0.9167,0.7415,0.9768,0.2353,False
multilingual/pooled,,,0.9075,,,,,,,,en,1757.0,0.8998,0.8849,0.913,0.0281,True
multilingual/pooled,,,0.6787,,,,,,,,es,15.0,0.8,0.5481,0.9295,0.3814,False
multilingual/pooled,,,0.7439,,,,,,,,fr,25.0,0.96,0.8046,0.9929,0.1883,False
multilingual/pooled,,,1.0,,,,,,,,pt,10.0,1.0,0.7225,1.0,0.2775,False
multilingual/pooled,,,0.8074,,,,,,,,ru,114.0,0.8509,0.7741,0.9048,0.1306,True
multilingual/cross_lingual_train_en,,,0.4425,,,,,,,,de,129.0,0.876,0.808,0.9222,0.1142,True
multilingual/cross_lingual_train_en,,,0.916,,,,,,,,en,1768.0,0.9078,0.8934,0.9204,0.027,True
multilingual/cross_lingual_train_en,,,0.5727,,,,,,,,es,61.0,0.8361,0.7239,0.9084,0.1846,True
multilingual/cross_lingual_train_en,,,0.5157,,,,,,,,fr,99.0,0.8081,0.7196,0.8735,0.154,True
multilingual/cross_lingual_train_en,,,0.6828,,,,,,,,pt,54.0,0.9074,0.8009,0.9598,0.1589,True
multilingual/cross_lingual_train_en,,,0.4357,,,,,,,,ru,542.0,0.7343,0.6956,0.7698,0.0742,True
